Symbol,Underlying,Security Name, Date of Listing, Market Lot,ISIN Number, Face Value
EBBETF0433,BHARAT Bond ETF-April 2033,EDELAMC - EBBETF0433,16-Dec-22,1,INF754K01QX0,1000
ICICICOMMO,ICICI Prudential Nifty Commodities ETF,ICICIPRAMC - ICICICOMMO,21-Dec-22,1,INF109KC19O8,10
DSPBANKETF,DSP Nifty Bank ETF,DSPAMC - DSPBANKETF,6-Jan-23,1,INF740KA1RX3,10
KOTAKLIQ,Kotak Nifty 1D Rate Liquid ETF,KOTAKMAMC - KOTAKLIQ,1-Feb-23,1,INF174KA1LV5,1000
HDFCSML250,HDFC NIFTY Smallcap 250 ETF,HDFCAMC - HDFCSML250,21-Feb-23,1,INF179KC1FB2,91.31
HDFCMID150,HDFC NIFTY Midcap 150 ETF,HDFCAMC - HDFCMID150,21-Feb-23,1,INF179KC1FA4,115.95
HDFCBSE500,HDFC S&P BSE 500 ETF,HDFCAMC - HDFCBSE500,21-Feb-23,1,INF179KC1EZ4,23.86
GOLDETF,Mirae Asset Gold ETF,MIRAEAMC - MAGOLDETF,24-Feb-23,1,INF769K01JP9,10
ABSLLIQUID,Aditya Birla Sun Life CRISIL Overnight Fund AI Index ETF,BIRLASLAMC - ABSLLIQUID,16-Mar-23,1,INF209KB18T9,1000
PSUBANKICI,ICICI Prudential Nifty PSU Bank ETF,ICICIPRAMC - PSUBANKICI,21-Mar-23,1,INF109KC10S8,10
AXSENSEX,AXIS S&P BSE SENSEX ETF,AXISAMC - AXSENSEX,29-Mar-23,1,INF846K010Q0,10
LOWVOL,Mirae Asset Nifty 100 Low Volatility 30 ETF,MIRAEAMC - MANV30F,31-Mar-23,1,INF769K01JU9,100
GSEC10YEAR,Mirae Asset Nifty 8-13 Yr G-Sec ETF,MIRAEAMC - MAGS813ETF,10-Apr-23,1,INF769K01KF8,10
SILVERETF,UTI Silver Exchange Traded Fund (UTI Silver ETF),UTIAMC - SILVERETF,20-Apr-23,1,INF789F1AYK6,75.81
DSPGOLDETF,DSP GOLD ETF,DSPAMC - DSPGOLDETF,5-May-23,1,INF740KA1SW3,10
SILVRETF,Mirae Asset Silver ETF,MIRAEAMC - MASILVER,15-Jun-23,1,INF769K01KG6,10
DSPITETF,DSP Nifty IT ETF,DSPAMC - DSPITETF,13-Jul-23,1,INF740KA1SX1,10
BANKETF,Mirae Asset Nifty Bank ETF,MIRAEAMC - BANKETF,26-Jul-23,1,INF769K01KR3,400
LIQUID,Mirae Asset Nifty 1D Rate Liquid ETF,MIRAEAMC - LIQUID,31-Jul-23,1,INF769K01KS1,1000
DSPPVBKETF,DSP Nifty Private Bank ETF,DSPAMC - DSPPVBKETF,2-Aug-23,1,INF740KA1TA7,10
DSPPSBKETF,DSP Nifty PSU Bank ETF,DSPAMC - DSPPSBKETF,2-Aug-23,1,INF740KA1SY9,10
DSPSENXETF,DSP S&P BSE Sensex ETF,DSPAMC - DSPSENXETF,2-Aug-23,1,INF740KA1SZ6,10
ICICIQTY30,ICICI Prudential Nifty 200 Quality 30 ETF,ICICIPRAMC - ICICIQTY30,10-Aug-23,1,INF109KC15T5,10
HDFCLIQUID,HDFC Nifty 1D Rate Liquid ETF,HDFCAMC - HDFCLIQUID,31-Aug-23,1,INF179KC1HE2,1000
NIFMID150,UTI Nifty Midcap 150 Exchange Traded Fund (ETF),UTIAMC - NIFMID150,5-Sep-23,1,INF789F1AYX9,10
NAVINIFTY,Navi Nifty 50 ETF,NAVIAMC - NAVINIFTY,25-Sep-23,1,INF959L01HI3,10
SENSEXETF,Mirae Asset S&P BSE Sensex ETF,MIRAEAMC - SENSEXETF,6-Oct-23,1,INF769K01KT9,10
MONIFTY500,Motilal Oswal Nifty 500 ETF,MOTILALAMC - MONIFTY500,6-Oct-23,1,INF247L01BU1,10
