SYMBOL, NAME OF COMPANY, SERIES, FACE VALUE, PAID UP VALUE, MKT LOT, IP RATE, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, REDEMPTION AMT, CONVERSION DATE, CONVERSION AMT, INTEREST PAYMENT DT
613RJ26,Rajasthan State,SG,100,100,100,6.13,17-MAY-2021,,12-MAY-2026,,,,,IN2920210068
616RJ24,Rajasthan State,SG,100,100,100,6.16,27-JUL-2020,,04-MAR-2024,,,,,IN2920190419
617KL27,Kerala State,SG,100,100,100,6.17,01-JAN-2021,,30-DEC-2027,,,,,IN2020200233
617TS25,Telangana State,SG,100,100,100,6.17,27-JUL-2020,,13-MAY-2025,,,,,IN4520200069
618GJ26,Gujarat State,SG,100,100,100,6.18,05-APR-2021,,31-MAR-2026,,,,,IN1520200339
618GJ26A,Gujarat State,SG,100,100,100,6.18,28-JAN-2022,,25-JAN-2026,,,,,IN1520210171
618GS2024,Government of India,GS,100,100,1,6.18,05-NOV-2019,,04-NOV-2024,,,,,IN0020190396
619AS26,Assam State,SG,100,100,100,6.19,12-FEB-2021,,10-FEB-2026,,,,,IN1220200258
619GS2034,Government of India,GS,100,100,1,6.19,02-JUN-2020,,16-SEP-2034,,,,,IN0020200096
61CG27,Chattisgarh State,SG,100,100,100,6.1,29-JAN-2021,,27-JAN-2027,,,,,IN3520200103
61RJ26,Rajasthan State,SG,100,100,100,6.1,27-MAY-2021,,25-MAY-2026,,,,,IN2920210084
61RJ27,Rajasthan State,SG,100,100,100,6.1,30-OCT-2020,,28-OCT-2027,,,,,IN2920200440
621AS26,Assam State,SG,100,100,100,6.21,19-FEB-2021,,17-FEB-2026,,,,,IN1220200274
622GS2035,Government of India,GS,100,100,1,6.22,03-NOV-2020,,16-MAR-2035,,,,,IN0020200245
622KL27,Kerala State,SG,100,100,100,6.22,04-DEC-2020,,02-DEC-2027,,,,,IN2020200225
623RJ27,Rajasthan State,SG,100,100,100,6.23,01-OCT-2021,,29-SEP-2027,,,,,IN2920210290
624HR26,Haryana State,SG,100,100,100,6.24,27-JUL-2020,,06-MAY-2026,,,,,IN1620200031
624MH26,Maharashtra State,SG,100,100,100,6.24,13-AUG-2021,,11-AUG-2026,,,,,IN2220210214
624MH28,Maharashtra State,SG,100,100,100,6.24,27-JUL-2020,,22-JUL-2028,,,,,IN2220200116
624RJ26,Rajasthan State,SG,100,100,100,6.24,02-JUL-2021,,30-JUN-2026,,,,,IN2920210183
624TS26,Telangana State,SG,100,100,100,6.24,27-JUL-2020,,27-MAY-2026,,,,,IN4520200085
625AS26,Assam State,SG,100,100,100,6.25,06-AUG-2021,,04-AUG-2026,,,,,IN1220210026
627RJ26,Rajasthan State,SG,100,100,100,6.27,23-JUL-2021,,20-JUL-2026,,,,,IN2920210241
628GJ27,Gujarat State,SG,100,100,100,6.28,03-SEP-2021,,01-SEP-2027,,,,,IN1520210098
629HP26,Himachal Pradesh State,SG,100,100,100,6.29,27-JUL-2020,,11-MAR-2026,,,,,IN1720190157
629RJ26,Rajasthan State,SG,100,100,100,6.29,16-JUL-2021,,14-JUL-2026,,,,,IN2920210225
629RJ26A,Rajasthan State,SG,100,100,100,6.29,31-DEC-2021,,29-DEC-2026,,,,,IN2920210407
62RJ26,Rajasthan State,SG,100,100,100,6.2,04-FEB-2022,,02-FEB-2026,,,,,IN2920210464
62RJ27,Rajasthan State,SG,100,100,100,6.2,31-JUL-2020,,29-JUL-2027,,,,,IN2920200267
632KA28,Karnataka State,SG,100,100,100,6.32,07-AUG-2020,,05-AUG-2028,,,,,IN1920200129
633AS26,Assam State,SG,100,100,100,6.33,09-JUL-2021,,07-JUL-2026,,,,,IN1220210018
633AS26A,Assam State,SG,100,100,100,6.33,31-DEC-2021,,29-DEC-2026,,,,,IN1220210182
633TN30,Tamilnadu State,SG,100,100,100,6.33,27-JUL-2020,,22-JUL-2030,,,,,IN3120200222
634RJ27,Rajasthan State,SG,100,100,100,6.34,29-OCT-2021,,27-OCT-2027,,,,,IN2920210340
635AP27,Andhra Pradesh State,SG,100,100,100,6.35,27-JUL-2020,,06-MAY-2027,,,,,IN1020200110
635MH28,Maharashtra State,SG,100,100,100,6.35,27-NOV-2020,,25-NOV-2028,,,,,IN2220200314
636HP28,Himachal Pradesh State,SG,100,100,100,6.36,31-JUL-2020,,29-JUL-2028,,,,,IN1720200030
638MH27,Maharashtra State,SG,100,100,100,6.38,27-AUG-2021,,25-AUG-2027,,,,,IN2220210230
639AP26,Andhra Pradesh State,SG,100,100,100,6.39,27-JUL-2020,,20-MAY-2026,,,,,IN1020200136
639BR27,Bihar State,SG,100,100,100,6.39,27-MAY-2021,,25-MAY-2027,,,,,IN1320210017
63PY26,Puducherry - Union Territory,SG,100,100,100,6.3,26-FEB-2021,,24-FEB-2026,,,,,IN3820200076
63PY27,Puducherry - Union Territory,SG,100,100,100,6.3,17-DEC-2021,,15-DEC-2027,,,,,IN3820210042
641GA30,Goa State,SG,100,100,100,6.41,27-JUL-2020,,15-JUL-2030,,,,,IN1420200082
641TN30,Tamilnadu State,SG,100,100,100,6.41,27-JUL-2020,,15-JUL-2030,,,,,IN3120200214
642GA30,Goa State,SG,100,100,100,6.42,30-OCT-2020,,28-OCT-2030,,,,,IN1420200165
642MN30,Manipur State,SG,100,100,100,6.42,27-JUL-2020,,15-JUL-2030,,,,,IN2320200040
642PN30,Punjab State,SG,100,100,100,6.42,07-AUG-2020,,05-AUG-2030,,,,,IN2820200094
642UP30,Uttar Pradesh State,SG,100,100,100,6.42,30-OCT-2020,,28-OCT-2030,,,,,IN3320200154
643AP30,Andhra Pradesh State,SG,100,100,100,6.43,06-NOV-2020,,04-NOV-2030,,,,,IN1020200458
643AS26,Assam State,SG,100,100,100,6.43,18-MAR-2021,,17-MAR-2026,,,,,IN1220200340
643MH27,Maharashtra State,SG,100,100,100,6.43,23-AUG-2021,,18-AUG-2027,,,,,IN2220210222
643RJ27,Rajasthan State,SG,100,100,100,6.43,21-JAN-2022,,19-JAN-2027,,,,,IN2920210431
643UK30,Uttarakhand State,SG,100,100,100,6.43,04-SEP-2020,,02-SEP-2030,,,,,IN3620200029
644GJ29,Gujarat State,SG,100,100,100,6.44,27-JUL-2020,,08-JUL-2029,,,,,IN1520200081
644GJ29A,Gujarat State,SG,100,100,100,6.44,14-AUG-2020,,12-AUG-2029,,,,,IN1520200115
644MH28,Maharashtra State,SG,100,100,100,6.44,14-AUG-2020,,12-AUG-2028,,,,,IN2220200124
644UK30,Uttarakhand State,SG,100,100,100,6.44,30-OCT-2020,,28-OCT-2030,,,,,IN3620200060
